"order","agent","slug","lane","status","launch_file","deliverable_folder","current_orchestrator_directive","agent_latest_update","roadblock_dependency","orchestrator_unblock_note","next_checkpoint","last_updated"
"0","Moshe","moshe-worktree-safety","Worktree safety map","ready","/Users/israelbitton/Live FactCheck/docs/orchestration/agents/00-Moshe-worktree-safety-quartermaster.md","/Users/israelbitton/Live FactCheck/agent-work/moshe-worktree-safety","Start from your launch brief, create only your deliverable folder, and report via reporting-inbox/status-row.","","No","","","2026-05-21"
"1","Noam","noam-iconography","Marker iconography image direction","ready","/Users/israelbitton/Live FactCheck/docs/orchestration/agents/01-Noam-marker-iconography-design-lead.md","/Users/israelbitton/Live FactCheck/agent-work/noam-iconography","Start from your launch brief, create only your deliverable folder, and report via reporting-inbox/status-row.","","No","","","2026-05-21"
"2","Miriam","miriam-flow-atlas","Flow atlas truth and missing-state inventory","ready","/Users/israelbitton/Live FactCheck/docs/orchestration/agents/02-Miriam-flow-atlas-state-cartographer.md","/Users/israelbitton/Live FactCheck/agent-work/miriam-flow-atlas","Start from your launch brief, create only your deliverable folder, and report via reporting-inbox/status-row.","","No","","","2026-05-21"
"3","Ezra","ezra-extension-proof","Chrome extension proof matrix","ready","/Users/israelbitton/Live FactCheck/docs/orchestration/agents/03-Ezra-chrome-extension-proof-lead.md","/Users/israelbitton/Live FactCheck/agent-work/ezra-extension-proof","Start from your launch brief, create only your deliverable folder, and report via reporting-inbox/status-row.","","Needs Chrome/manual verification","","","2026-05-21"
"4","Talia","talia-product-truth","Product truth and copy lock","ready","/Users/israelbitton/Live FactCheck/docs/orchestration/agents/04-Talia-product-truth-and-copy-lock.md","/Users/israelbitton/Live FactCheck/agent-work/talia-product-truth","Start from your launch brief, create only your deliverable folder, and report via reporting-inbox/status-row.","","No","","","2026-05-21"
"5","Shira","shira-source-intake","Source intake UI repair","ready","/Users/israelbitton/Live FactCheck/docs/orchestration/agents/05-Shira-source-intake-ui-repair-lead.md","/Users/israelbitton/Live FactCheck/agent-work/shira-source-intake","Start from your launch brief, create only your deliverable folder, and report via reporting-inbox/status-row.","","No","","","2026-05-21"
"6","Devorah","devorah-security-gates","Security launch gates","ready","/Users/israelbitton/Live FactCheck/docs/orchestration/agents/06-Devorah-security-launch-gates.md","/Users/israelbitton/Live FactCheck/agent-work/devorah-security-gates","Start carefully from your launch brief, keep patches narrow, and report residual risks.","","May need auth policy decision","","","2026-05-21"
"7","Lev","lev-signal-system","Watch and extension signal system","waiting","/Users/israelbitton/Live FactCheck/docs/orchestration/agents/07-Lev-live-signal-system-designer.md","/Users/israelbitton/Live FactCheck/agent-work/lev-signal-system","Wait for verdict vocabulary and source-intake basics, then check this directive row.","","Depends on verdict vocabulary and intake state repair","","","2026-05-21"
"8","Hadassah","hadassah-mobile-a11y","Mobile and accessibility pass","waiting","/Users/israelbitton/Live FactCheck/docs/orchestration/agents/08-Hadassah-mobile-and-accessibility-pass.md","/Users/israelbitton/Live FactCheck/agent-work/hadassah-mobile-a11y","Wait until source-intake and signal changes settle, then check this directive row.","","Best after signal and source-intake changes settle","","","2026-05-21"
"9","Eli","eli-source-visuals","Source thumbnails and visual evidence integrity","waiting","/Users/israelbitton/Live FactCheck/docs/orchestration/agents/09-Eli-source-visual-evidence-integrity.md","/Users/israelbitton/Live FactCheck/agent-work/eli-source-visuals","Wait for product truth and coordinate with security on SSRF/image validation.","","Coordinate with Devorah on SSRF work","","","2026-05-21"
"10","Aviva","aviva-save-export","Save, library, export outcomes","waiting","/Users/israelbitton/Live FactCheck/docs/orchestration/agents/10-Aviva-save-library-and-export-outcomes.md","/Users/israelbitton/Live FactCheck/agent-work/aviva-save-export","Wait for account/local-save story and extension proof, then check this directive row.","","Depends on account/local-save story and extension proof","","","2026-05-21"
"11","Yonah","yonah-evaluation","Corpus meaning-under-pressure evaluation","ready","/Users/israelbitton/Live FactCheck/docs/orchestration/agents/11-Yonah-meaning-under-pressure-evaluation.md","/Users/israelbitton/Live FactCheck/agent-work/yonah-evaluation","Start as read-mostly; do not overwrite corpus artifacts.","","No full corpus ingest; human review required later","","","2026-05-21"
"12","Rivka","rivka-meta-review","Claim semantics and meta-review architecture","waiting","/Users/israelbitton/Live FactCheck/docs/orchestration/agents/12-Rivka-claim-semantics-and-meta-review-architect.md","/Users/israelbitton/Live FactCheck/agent-work/rivka-meta-review","Wait for Yonah evaluation pack, then design the smallest safe implementation slice.","","Needs evaluation pack first","","","2026-05-21"
"13","Ariel","ariel-motion-loops","Motion loop prototyping","waiting","/Users/israelbitton/Live FactCheck/docs/orchestration/agents/13-Ariel-motion-loop-prototyper.md","/Users/israelbitton/Live FactCheck/agent-work/ariel-motion-loops","Wait until Israel approves Noam static icon direction.","","Static icon approval required","","","2026-05-21"
